checkpoint_id	title	track	entry_checkpoint_ids	requirement_ids	deliverable	exit_criteria	reject_or_restart	owner_role	work_state	gate_result	tested_sha	input_manifest_hash	config_hash	thresholds_hash	evidence_uri	independent_review	approval_record	next_action	checkpoint_scope	canonical_gate_effect	science_authority	promotion_eligible	publication_scope
CP00	범위·기준선·승인 계획	공통		G01,G02,G03,G04,G05,E07,V01	권한·범위표; baseline receipt; CI·threshold·사건 계획	기준선·기대 시각·권한·reviewer와 필요한 병렬계획 승인 고정	권한·입력 출처·시험 범위 미확정이면 실행 보류	미배정 — 연구 책임/QA·CI/독립 검토	COMPLETE	PASS	f837bad0bdf1050a34975d93b178b7dee4420094				scratch/cp00_handoff_20260907.json	cp00_green:PASS;cp00_red:PASS (LOCAL_SCOPED)	docs/CP00_EXECUTION_RECORD_20260907.md#최종-연구-종료-판정	KG 종료 기록 후 CP01 격리 계약·oracle; canonical/remote/science gate 변경 없음	ENGINEERING_SCOPED	NO_AUTOMATIC_CHANGE	NONE	false	NO_OPERATIONAL_PUBLICATION
CP01	등압면 분석–WPS–real 질량·격자·frame 계약	과학·계약	CP00	M01,M02,M03,M04,M05,M06,M07	등압면 필수 분석 계약·oracle; 후단 host adapter 계약(별도 미폐합 추적)	dry mass·PSFC·EOS·종별 coverage·partial face·frame·boundary 계약 및 작은 해석시험	분모·좌표·coverage 불명확이면 통합 금지; 영향받는 후속 증거 재검토	primary; cp01_native_inventory; cp01_mass_mapping (isolated research)	COMPLETE	PASS					docs/CP01_COMPLETION_AUDIT_20260909.md; scratch/cp01_final_binding_vpoe3vby/receipt.json	Independent GREEN/RED PASS for the original six bounded research contract/small-test criteria; see final audit and retained review hashes.	docs/CP01_EXECUTION_RECORD_20260907.md#cp01-final-scoped-exit--2026-09-09	Proceed with authorized CP02 early preparation and CP03/04/05 pressure-level work using their specific entry contracts. Actual native input remains NO_AUTHORITY; producer authentication, full native roundtrip/publication and conservation remain downstream. CP01 PASS is bound to retained source manifests, not a clean release SHA.	ENGINEERING_SCOPED	NO_AUTOMATIC_CHANGE	NONE	false	NO_OPERATIONAL_PUBLICATION
CP02	Upstream·full ifx·OFF native 왕복·게시	실행·통합	CP01	E01,E02,E03,E05,E06	실제 OFF native generation; upstream/build/runtime/게시 receipts	직접 upstream 생성·full ABI/link·같은 입력 OFF 왕복·검증byte 게시·실패주입 통과; 실행·writer·게시/current 실패주입은 소유 scratch 안에서만 수행하며 P2/P6 정식 종료 아님	원본/current 보존; 미지원 filesystem과 partial bundle은 full product 거부	primary; cp02_filesystem; independent scope and implementation review (isolated research)	IN_PROGRESS	NOT_RUN					docs/CP02_COMPLETION_WORKLOG_20260910.md; scratch/cp02_e02_adapters_y56nusbb/MATCHED_CONTROL_FINAL_INDEX.json; scratch/cp02_e02_adapters_y56nusbb/PARENT_CONTROLLED_FOUR_CASE_PRODUCTS.json; scratch/cp02_e02_adapters_y56nusbb/PARENT_MATCHED_CHAIN_IDENTITY_CHECK.json; scratch/cp02_original_e01_builds_20260910/ORIGINAL_LGT_FINAL_FOUR_CASE_RECEIPT.json; scratch/cp02_original_e01_builds_20260910/INDEPENDENT_LGT_AUDITS.json; scratch/cp02_link_input_pins_qj349ens/MAINTAINED_MATRIX_FINAL_RECEIPT.json; scratch/cp02_e06_stage_off_20260910/POST_RED_INDEX_PENDING.json; scratch/cp02_compiler_process_4t9f9hse/AUDITED_BUILDS.json; scratch/cp02_e06_path_binding_20260910/FINAL_INDEX_PENDING_RED.json; scratch/cp02_exit_red.e06_v3_review_20260910.fWJbyD/CP02_E06_V3_RED_FOLLOWUP.md; scratch/cp02_compiler_process_4t9f9hse/FINAL_INDEPENDENT_AUDITS.json; scratch/cp02_final_portable41_ewyxj9vt/RECEIPT.json	Latest compiler-audited32call matrix GREEN1072/1072 PASS. E01 final causal/predecessor and absent-executable evidence independently RED PASS_SCOPED; historical positives remain source-bound. E06 V3 RED PASS and final compiler-required O0/O2 gates57 each PASS; new eight-generation protocol/final RED pending. Final portable41 PASS no drift. Whole CP02 NOT_RUN.		Use docs/CP06_A_EXPERIMENT_SPEC_20260816T130000Z.md; obtain actual observation target/sigma and provenance, freeze support arrays, and satisfy coupled Fortran handoff/outer-loop prerequisites before execution. Specification creation does not grant observational authority or close native validation.	ENGINEERING_SCOPED	NO_AUTOMATIC_CHANGE	NONE	false	NO_OPERATIONAL_PUBLICATION
CP03	등압면 국지 balance와 후단 정합성	과학·수치	CP01	B01,B02,B03,B04,B06	feasible 정확해·sparse reference·metric/target 검증	등압면 solve/update/저장 C·metric 일치·gauge/compatibility·독립 정확해·다격자·support identity; 변환 후 native 좌표 연산자 검증은 CP06-B/07에서 B01 최종 폐합	비수렴/부적합 RHS/parity/저장 후 잔차 실패 후보 거부; 광역 fallback 금지	미배정 — 연산자/독립 수치 검증	PLANNED	NOT_RUN								등압면 연산자·독립 reference·고정 6/16 응답 시험; native 변환과 동일 행렬을 가정하지 않음	ENGINEERING_SCOPED	NO_AUTOMATIC_CHANGE	NONE	false	NO_OPERATIONAL_PUBLICATION
CP04	종별 수분·엔탈피 block	과학·열역학	CP01	T01,T03	독립 종별 Δr/ΔT/Δh block과 등압면 후보장 연결 receipts	내부 water/선택 enthalpy 동시 보존·positivity·포화·cap 실패 전체 rollback; 독립 block 시험과 실제 후보 경로 연결을 각각 확인; 합성 A_Q는 O03 lineage/T01 최종 폐합 아님	clip이나 cap 도달을 성공으로 처리하지 않고 원본 복귀	미배정 — 미세물리·열역학/독립 oracle	PLANNED	NOT_RUN								기존 종별 block·후보 경로·진단 저장 구현을 재사용; A_Q/A_E 및 압력·질량 결합과 실제 관측 경로 증거를 폐합	ENGINEERING_SCOPED	NO_AUTOMATIC_CHANGE	NONE	false	NO_OPERATIONAL_PUBLICATION
CP05	실제 관측 target·연산자·수송	과학·관측	CP01	O01,O02,O03,O04,O05,O06,O07,O08,T02,V02	실제 관측 계약; 비영 target 근거; 선택한 수송 모형 시험	R/frame/beam/time/독립성·Vt_mass/Vt_Z·검출한계·source/sink·실제 비영 target 확인; CP04는 병렬 계약 점검 입력이며 실제 T01/T02 결합 폐합은 CP06에서 CP04 receipt와 함께 재검증	무권한은 no-op; malformed required는 거부; 제조해로 실제 target 대체 금지	미배정 — 구름·레이더/바람 adapter/수송	PLANNED	NOT_RUN								Barnes 완료 receipt 참조; O06 통합 및 reconstruction/시간수송 의미 확정	OBSERVATION_CONTRACT_RESEARCH	NO_AUTOMATIC_CHANGE	NONE	false	NO_OPERATIONAL_PUBLICATION
CP06	한 사례 coupled full SHADOW — FG1	합류	CP01,CP03,CP04,CP05	T04,T05,B05,E04,E08	CP06-A 등압면 결합 후보·독립 검증; CP06-B 동일 후보의 native generation·독립 verifier	A: 등압면 bounded outer 수렴·실제 관측 비영 결합·저장 상태 budget/잔차/rollback 독립 검증; B: A PASS+CP02 완료+필요 통합 계약+기존 RELEASE/NO-GO 선행조건, 동일 후보 WPS→metgrid→real 전체 native 재계산; A/B 모두 통과해야 CP06/FG1 완료; A/B별 subcheckpoint_id·실험 승인·독립 검토 receipt 필수, B는 통과한 A URI/hash를 참조	후보 거부/current 보존; 마지막 유효 block receipt로 복귀	미배정 — 통합/독립 verifier/단계 승인	PLANNED	NOT_RUN								Use docs/CP06_A_EXPERIMENT_SPEC_20260816T130000Z.md; obtain actual observation target/sigma and provenance, freeze support arrays, and satisfy coupled Fortran handoff/outer-loop prerequisites before execution. Specification creation does not grant observational authority or close native validation.	REAL_OBSERVATION_RESEARCH	NO_AUTOMATIC_CHANGE	NONE	false	NO_OPERATIONAL_PUBLICATION
CP07	전체 기능·최종 native 회귀	통합·검증	CP06	G03,M01,M02,M03,M04,M05,M06,M07,B01,B06,E03,E04	고정 범위 regression matrix; native/oracle/mutation receipts	12–15와 P1 13–15 범위 유지·전체 필수 변수·float32 저장 뒤 budget/residual·오류경로 검증	연관 CP01–06 재검토/재실행; 사례·시각·threshold 축소 금지	미배정 — 통합 QA/독립 물리·수치 검증	PLANNED	NOT_RUN								FG1 밖 필수 회귀·긍정/부정 경로 및 남은 요구사항 증거 목록 확정	FULL_TECHNICAL_REGRESSION	NO_AUTOMATIC_CHANGE	NONE	false	NO_OPERATIONAL_PUBLICATION
CP08	독립 사건 0–6 h·파동 안전 — FG2	과학·평가	CP07	V01,V02,V03,V04,B05,E08	frozen hold-out manifest; paired forecasts; science/wave review	O06/V01 계보 확인·사전 개선/비열등 기준·regime critical gate·고빈도 파동·event 불확실성 통과	실패/표본 부족이면 FG2 보류; hold-out tuning 시 새 평가 세트	미배정 — 과학 평가/독립 통계·관측 검토	PLANNED	NOT_RUN								주 효과·비열등 margin·sampling·사건 수와 관측 ID split 확정	SCIENCE_ASSESSMENT	NO_AUTOMATIC_CHANGE	NONE	false	NO_OPERATIONAL_PUBLICATION
CP09	운영 준비·복구·독립 최종 인수 — FG3	운영·승인	CP08	G02,G05,E05,E06,V05,V06	exact release evidence; SLO/복구 drill; 45개 폐합 및 독립 결정	선행 receipts 유효·45개 필수 AND·실제 required checks/보호·SLO/복구·독립 승인; ACTIVE 자동 허용 없음	필수 FAIL/NOT_RUN/미승인 하나라도 있으면 보류; 마지막 승인 세대 보존	미배정 — 운영/GREEN/RED/별도 승인자	PLANNED	NOT_RUN								최종 release identity·운영 예산·검증자 분리와 인수 기록 계약 확정	INDEPENDENT_ACCEPTANCE_REVIEW	NO_AUTOMATIC_CHANGE	NONE	false	NO_OPERATIONAL_PUBLICATION
