id	area	final_requirement	urgency	legacy_stage	current_implementation	current_evidence	owner_role	prerequisite_ids	next_action	closure_criterion	adversarial_test	source_refs	gate_result	tested_sha	evidence_uri	reviewer	closure
G01	목표·권한	최종 목표·비목표와 기능별 승인 범위 고정	P0	P1/P5	구현확인	소스검토	미배정 — 제품·권한 책임		HYDRO/THERMO/DYNAMIC의 승인 범위를 하나의 요구사항 표에 고정	목표에 수상체·T/qv·질량/압력·바람·파동 안전·원본보호 포함; 진단을 운영 승격으로 해석하지 않음	문서·CLI·manifest의 mode/authority 일치 검사	[R03]	NOT_RUN				OPEN
G02	목표·권한	최신 SHA·입력·도구·시험 증거 기준선	P0	P8	부분구현	소스검토	미배정 — 릴리스·증거 책임		실제 시험 대상 source SHA·tree·input/config·compiler/tool hash를 각각 동결하고 provenance receipt를 재생성; 문서 SHA와 시험 SHA를 분리 기록	실행 source SHA·tree·input/config/compiler hash와 결과가 동일 세대에 결속하며 문서 SHA는 시험 SHA와 별도로 추적	dirty tree, old SHA, changed config, stale receipt 거부	[R12]	NOT_RUN				OPEN
G03	목표·권한	운영 원본 불변 / OFF no-op / SHADOW 격리	P0	P1/P2	구현확인	소스검토	미배정 — 안전·권한 격리 책임	G02	최신 SHA에서 failure injection과 operational state/file identity 재확인	승인·실패·degraded 모든 경로에서 operational value/metadata/hash 불변	stage별 실패·잘못된 mode·no-op·writer 오류	[R09]	NOT_RUN				OPEN
G04	목표·권한	시각 범위 및 12 UTC 제외의 명시성	P0	P1	구현확인	과거기록	미배정 — 검증 범위 책임	G02	P1 비교 13/14/15와 raw/upstream/manufactured 12–15를 각각 검증	historical exclusion을 누락/성공으로 바꾸지 않으며 정해진 범위 내 누락은 fail-closed	축소/확대/중복/순서변경 시각; full scope 12 UTC 누락	[R10]	NOT_RUN				OPEN
G05	목표·권한	필수 CI·main 보호·검증자 분리	P0	P8	구현미확인	소스검토	미배정 — CI·저장소 관리자	G02	가벼운 contract CI를 즉시 만들고 ifx self-hosted check와 연결	exact HEAD 필수 check 통과; branch/ruleset 적용; 산출자와 승인 판단의 증거 분리	누락 check, old green SHA, manufactured artifact 승격 거부	[R01]	NOT_RUN				OPEN
M01	격자·질량	단일 value/valid/quality/source/time/unit 계약	P0	P5	구현확인	소스검토	미배정 — 상태·자료계약 책임	G02	필수와 선택 필드의 coverage 및 시간창 계약 재확인	모든 과학 연산이 usable predicate 사용; unknown bit·단위·시각 불일치 거부	valid=true/source=0, NaN, unknown enum, 시간 mismatch	[R06]	NOT_RUN				OPEN
M02	격자·질량	OM 독립 도메인 및 지형·PSFC 정합성	P0	P5	구현확인	소스검토	미배정 — 실자료 ingest·geometry 책임	M01	완화된 지형 조건까지 제조해·edge case로 확인	도메인이 OM 결측으로 축소되지 않음; 지표/기압/고도의 허용 불일치 명시	bottom OM 한 층 결측, 내부 hole, subterrain, column 전체 결측	[R07]	NOT_RUN				OPEN
M03	격자·질량	pressure interface / cell_dp / center spacing 분리	P0	P5	구현확인	소스검토	미배정 — pressure geometry 책임	M02	절단 셀의 column sum 및 인접 partial-face overlap 추가 검증	cell_dp=interface 차; 총질량=A·Σcell_dp/g; level spacing은 질량으로 사용하지 않음	PSFC=center/face/center 사이, 경사면, top closure, analytic column	[R06]	NOT_RUN				OPEN
M04	격자·질량	canonical–WPS–native 질량분모 계약	P0	P3/P6	부분구현	소스검토	미배정 — native I/O·질량계약 책임	M03	pressure-level field/단위와 dry-air·moist-air·condensate-included 분모·변환을 생산자까지 추적하고 scoped known-column 시험을 실행	유입·canonical·WPS·metgrid/native의 종별 질량기준 일치 및 왕복 검사 통과; 초기 등압면 계약·known-column 시험만으로 최종 폐합하지 않음	습윤 column field 누락·분모 mismatch·단위 오류와 dry/moist 역변환·column mass audit	[R10]	NOT_RUN				OPEN
M05	격자·질량	수분 분석증분과 dry mass / PSFC 결합	P0	P3/P5	설계·계약	소스검토	미배정 — 질량·수분 보존 책임	M04	pressure-level Δqv·Δdry-mass·PSFC와 A_Q/A_E/A_M·enthalpy convention을 고정하고 pressure-fixed/native-dry-mass scoped cell/column budget을 실행	고정 pressure mass와 수분추가로 생기는 dry-mass 변화를 숨기지 않으며 결합 후보의 A_Q/A_E/A_M ledger 폐합; 독립 cell/column 시험만으로 완료하지 않음	같은 Δ수분을 pressure-fixed/native-dry-mass로 처리하고 denominator·PSFC·enthalpy budget 차이를 비교	[R03]	NOT_RUN				OPEN
M06	격자·질량	바람 frame·투영·metric·w↔omega 계약	P0	P5/P6	부분구현	소스검토	미배정 — 바람 frame·metric 책임	M01	earth/grid-relative 회전, map factor, pressure tendency/advection 포함 여부 명시	변환 왕복과 균일 물리바람 제조해 통과; 근사 omega 변환 범위 표시	회전격자·경사 지표·이동 pressure surface·단위 km/m	[R11]	NOT_RUN				OPEN
M07	격자·질량	물리적 top/bottom boundary와 관측시각	P0	P5	부분구현	과거기록	미배정 — 경계·관측시각 책임	M06	실제 model-top flux와 USF/VSF frame 확보; 경계 tendency cycle 일치	copied/test boundary는 science authority NONE; 관측 승인 경계와 엄격 분리	정지경사면, 지표 pressure tendency, 모델 cycle 혼합, 상부 flux	[R05]	NOT_RUN				OPEN
O01	구름·레이더	실제 cloud analysis ingest 및 수상체 정합성	P1	P5/P6	부분구현	소스검토	미배정 — cloud analysis·수상체 책임	M04	cloud fraction/type/base/top/T/qv를 실제 adapter에 연결	운형이 아니라 관측과 오차로 수상체 prior/constraint 구성	안개/층운/shallow/deep Cu/층상강수/중첩 cloud layer	[R03]	NOT_RUN				OPEN
O02	구름·레이더	운형·dBZ-only 연직속도 금지 유지	P0	P5	구현확인	소스검토	미배정 — 동역학 권한 책임	M01	관측값·추정값·test target·권한을 별도로 표시	cloud presence 또는 reflectivity만으로 동역학 승인 bit를 부여하지 않음	운형만 변경, 높은 dBZ만 제공, manufactured bit 주입	[R09]	NOT_RUN				OPEN
O03	구름·레이더	H_Z와 종별 retrieval 불확실도	P1	P3/P5	부분구현	소스검토	미배정 — radar operator·오차모형 책임	M04,O01	host microphysics 일치 forward operator와 retrieval parameter ID/R_Z 도입; 산란·입자분포·대표성 불확실성이 커지면 R_Z를 확대하거나 정밀도 가중 R_Z^-1을 낮춤	phase/PSD/wavelength/bright-band 가정을 cell provenance와 불확실도에 반영하고 불확실성 증가를 R_Z 축소로 처리하지 않음	rain/snow/mixed-phase·beam filling·계수변화 ablation	[R11]	NOT_RUN				OPEN
O04	구름·레이더	no-echo / missing / QC-reject 분리	P1	P5	부분구현	소스검토	미배정 — radar QC·결측 계약 책임	O03	현재 destination block 유지 검증 후 검출한계 기반 censored constraint 평가	no-echo는 검출상한이며 missing은 무정보; blocked flux를 증발로 간주하지 않음	약한 echo, high beam, attenuation, QC hole, 명시 no-echo	[R08]	NOT_RUN				OPEN
O05	구름·레이더	내부 물리제약 dynamic target 추정 및 R_w/식별가능성	P0	P5	부분구현	소스검토	미배정 — dynamic target·관측권한 책임	M06,M07,O03	분석풍·질량/연속성·부력 등 내부 물리제약과 관측 근거·오차·영역평균을 한 계약으로 연결; 외부 w target은 필수 입력으로 요구하지 않음	core w를 grid mean으로 대입하지 않음; 외부 w가 없어도 내부 제약 추정을 평가하며 관측·제약이 부족하거나 식별불능이면 적용 권한을 0으로 하고 원본 사용·rollback을 유지	0관측·poor geometry·반복관측·큰 R_w·상승 core 면적변화·외부 w target 부재	[R03]	NOT_RUN				OPEN
O06	구름·레이더	레이더별 LOS 입력 연결과 Cloud-BAL 공동분석 수용	P1	P5/P6	부분구현	소스검토	미배정 — Barnes 통합·LOS 계약 책임	M01,M06	O06.a 입력 연결은 M01·M06에 의존하고 레이더별 Vr·기하·시각·QC·frame/dealias/beam/uncertainty와 provenance를 연결; O06.b 공동분석 수용은 O06.a와 관측가능성(O03,O04,O05 또는 동등한 내부 단계)·낙하속도 증거(O08)·질량/경계(M05,M07)를 확인한 뒤 원 관측 공동분석 또는 명시된 조건부 경로를 선택	O06.a 입력 연결은 실제 자료 ID·시각·기하·QC·단위·계보를 확인한다; O06.b 공동분석 수용은 O06.a와 관측가능성·낙하속도·질량/경계 계약을 모두 충족하고, R2에서 선택한 원 관측 공동분석 또는 조건부 경로의 V_r=beam·(u,v,w−Vt_Z) 및 assimilated/held-out 중복 제거를 검증한다; 외부 w target 부재는 자동 거부 사유가 아니며 unresolved/incompatible 상태는 적용 권한 0·원본 유지·rollback	O06.a 누락/중복 ID·folded/dealiased provenance·Nyquist·frame 불일치; O06.b poor multi-radar rank·공통 Vt·관측 재사용·incompatible mass/boundary	[R02]	NOT_RUN				OPEN
O07	구름·레이더	시간·storm-relative trajectory frame	P1	P5	부분구현	소스검토	미배정 — trajectory·시간 frame 책임	M06	시간진화 parcel은 지구고정 u, 준정상 storm-frame 재구성은 u−c로 모델 분리	두 frame에서 같은 물리 궤적 복원; unknown motion을 관측된 0으로 표시하지 않음	균일 storm translation·강한 shear·시각 mismatch·u/c 동시변환	[R11]	NOT_RUN				OPEN
O08	구름·레이더	낙하속도의 mass-weighted / Z-weighted 분리	P1	P5	부분구현	소스검토	미배정 — terminal velocity·PSD 책임	O03,M01,M06	O06.a 입력 연결이 준비된 뒤 flux에는 Vt_mass, Doppler에는 Vt_Z 사용; PSD 없으면 근사/오차 표기	하나의 terminal speed를 이유 없이 양쪽 관측·질량 연산에 공유하지 않으며 O06.b 공동분석이 사용할 Vt_Z·공통 낙하속도 오차를 독립적으로 기록	다분산 PSD known moments; updraft suspension와 flux 역산; O06.a 입력 누락·Vt_Z 미기록	[R11]	NOT_RUN				OPEN
